problem,seed,model,comparison_group,data_mse,physics_residual,param_count,epochs_trained,best_val_loss,seconds_per_epoch,inference_ms
allen_cahn,45,tapinn,physics_trained,0.22033517062664032,0.08286882285028696,16361,34,0.14301079511642456,0.03419642432452426,0.21076250050100498
allen_cahn,45,standard_pinn,physics_trained,0.1528310626745224,0.02563060075044632,8641,68,0.11052237451076508,0.023973145367670118,0.12105849964427762
allen_cahn,45,hyperpinn,physics_trained,0.05784912779927254,0.016401735483668745,40225,74,0.04435864835977554,0.025759606243023096,0.17269175077672116
allen_cahn,45,deeponet,physics_trained,0.14638352394104004,0.027692932169884443,45504,28,0.12483859062194824,0.024902468536830775,0.1571297507325653
allen_cahn,45,fno,supervised_only,0.06560730189085007,20.536781787872314,44257,100,0.05050881952047348,0.01464478770023561,0.23821325157769024
allen_cahn,46,tapinn,physics_trained,0.1820075511932373,0.05164038576185703,16361,43,0.14611902832984924,0.028740463324221456,0.1874190020316746
allen_cahn,46,standard_pinn,physics_trained,0.13168923556804657,0.018189814873039722,8641,36,0.11362457275390625,0.024509337501513073,0.11470849858596921
allen_cahn,46,hyperpinn,physics_trained,0.0678371861577034,0.008839396061375737,40225,63,0.06792131811380386,0.02594463608069678,0.18426725000608712
allen_cahn,46,deeponet,physics_trained,0.10882880538702011,0.039417329244315624,45504,45,0.09045086801052094,0.024330255955444753,0.15025600077933632
allen_cahn,46,fno,supervised_only,0.0740327388048172,13.010371208190918,44257,100,0.07791227847337723,0.014668961899878923,0.25125300089712255
burgers,42,tapinn,physics_trained,0.08607088774442673,0.8065319769084454,16361,36,0.07753007113933563,0.028716684360309348,0.18927575001725927
burgers,42,standard_pinn,physics_trained,0.06318961828947067,0.2021906292065978,8641,68,0.05507844313979149,0.02387817311725538,0.11353049922036007
burgers,42,hyperpinn,physics_trained,0.03045407496392727,0.008037870284169912,40225,78,0.033666037023067474,0.02588219958964216,0.17003700122586451
burgers,42,deeponet,physics_trained,0.057882919907569885,0.2146936533972621,45504,53,0.05192745476961136,0.024636789699489216,0.15798749882378615
burgers,42,fno,supervised_only,0.03732917085289955,8.366838335990906,44257,100,0.03735165297985077,0.014505394419102232,0.25105150052695535
burgers,43,tapinn,physics_trained,0.09515013545751572,0.7672636210918427,16361,39,0.07682885229587555,0.028131273743406966,0.1855277514550835
burgers,43,standard_pinn,physics_trained,0.08868291229009628,0.6067913845181465,8641,26,0.06982970982789993,0.024062837115847148,0.12558700109366328
burgers,43,hyperpinn,physics_trained,0.03167862817645073,0.01848975452594459,40225,95,0.021830948069691658,0.025619062336504853,0.2508457509975415
burgers,43,deeponet,physics_trained,0.08070199936628342,0.24530006619170308,45504,29,0.057624150067567825,0.024501460794548117,0.15464224998140708
burgers,43,fno,supervised_only,0.035300809890031815,7.007015705108643,44257,100,0.03188420832157135,0.014042421400372405,0.2354967473365832
burgers,44,tapinn,physics_trained,0.08263971656560898,1.9001467525959015,16361,19,0.09439952671527863,0.027552952053252068,0.18724300025496632
burgers,44,standard_pinn,physics_trained,0.06401810795068741,0.5371162444353104,8641,31,0.07822860032320023,0.023048266352082965,0.11662574979709461
burgers,44,hyperpinn,physics_trained,0.07923708856105804,1.4020386636257172,40225,25,0.09084692597389221,0.024876360840862616,0.17145049787359312
burgers,44,deeponet,physics_trained,0.062286507338285446,0.396046943962574,45504,28,0.07753196358680725,0.02436627139364386,0.14798600022913888
burgers,44,fno,supervised_only,0.02593456208705902,4.352345883846283,44257,100,0.03529442101716995,0.014507330009219005,0.24236175158875994
burgers,45,tapinn,physics_trained,0.089579276740551,1.6728343963623047,16361,64,0.06945088505744934,0.029089345156762647,0.22631600222666748
burgers,45,standard_pinn,physics_trained,0.0722474679350853,0.5474958587437868,8641,49,0.05171371251344681,0.024142291000390864,0.11452650142018683
burgers,45,hyperpinn,physics_trained,0.0861642062664032,1.3606885522603989,40225,52,0.06894118338823318,0.026102200596002288,0.1758660000632517
burgers,45,deeponet,physics_trained,0.06740378588438034,0.31373151927255094,45504,47,0.05608526989817619,0.024438094530697972,0.14793549780733883
burgers,45,fno,supervised_only,0.01981678605079651,4.683619201183319,44257,100,0.01727687008678913,0.014341348820598796,0.22100749993114732
burgers,46,tapinn,physics_trained,0.10474041849374771,0.5162867605686188,16361,31,0.06867774575948715,0.029527386902989217,0.20901499738101847
burgers,46,standard_pinn,physics_trained,0.08807652443647385,0.21052340418100357,8641,34,0.055965133011341095,0.023964781707892305,0.11969249680987559
burgers,46,hyperpinn,physics_trained,0.10374592989683151,0.4914063587784767,40225,28,0.07074306905269623,0.025801932214692767,0.16850349857122637
burgers,46,deeponet,physics_trained,0.07218695431947708,0.04679191927425563,45504,33,0.04937034472823143,0.024689050908129888,0.16191299800993875
